"initpop","tau_I","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
250000,0.1,1825,0.5363796336012,0.535868768487861,0.536878202200231,0.519400732130617,0.551797495329285,146939.418,142455,151219,263947.276,263409,264522,273946.652,273444,274461,0,500
3e+05,0.1,1825,0.538244908516847,0.537733501390288,0.538710143851693,0.518775671646332,0.551412298813176,176941.03,170506,181338,316737.598,316129,317377,328737.164,328185,329290,0,500
350000,0.1,1825,0.539174312527576,0.538711370423034,0.539643000366321,0.519613973653493,0.552981608913666,206787.902,199432,212372,369532.51,368863,370216,383527.04,382941,384163,0,500
4e+05,0.1,1825,0.54014174514292,0.539705856678772,0.540588668286533,0.525681350087015,0.55506347598317,236752.962,230475,243310,422321.83,421602,423033,438316.322,437659,438992,0,500
450000,0.1,1825,0.540702311859216,0.54024632996189,0.541172607242393,0.525711447022922,0.55531309067015,266623.998,259273,273816,475113.25,474363,475824,493106.798,492443,493807,0,500
5e+05,0.1,1825,0.540668827730974,0.54022465104453,0.541077010821402,0.527353667506877,0.553912678574687,296230.684,288926,303812,527905.448,527142,528667,547896.68,547190,548626,0,500
550000,0.1,1825,0.541480784775663,0.541097620964849,0.541864807511174,0.528500021559516,0.553698986999411,326342.996,318604,333746,580690.604,579867,581470,602686.36,601943,603479,0,500
6e+05,0.1,1825,0.541822217125195,0.541412941875896,0.542204366985719,0.528350946552117,0.55534244616791,356233.162,347470,365116,633479.094,632526,634270,657472.618,656557,658192,0,500
650000,0.1,1825,0.542033562581603,0.541628209588572,0.542429766836607,0.529664682093911,0.555761525790048,386067.824,377206,395745,686265.65,685120,687259,712258.302,711428,713101,0,500
7e+05,0.1,1825,0.542519996687201,0.542134331169053,0.542915557294422,0.530714596734032,0.554980961034322,416144.08,407091,425732,739064.078,738010,740043,767057.676,766103,767997,0,500
750000,0.1,1825,0.542626974419271,0.542263317647259,0.5429828423718,0.531812583368222,0.554789015812415,445953.784,436967,456289,791847.982,790819,792999,821842.118,820838,822952,0,500
8e+05,0.1,1825,0.54274909400787,0.542385067617351,0.543113772876731,0.530412226488444,0.55425653146499,475796.318,464988,485884,844648.832,843622,845569,876641.656,875793,877580,0,500
850000,0.1,1825,0.542839516917004,0.542489696212537,0.543191032089372,0.532839684869596,0.553813967318206,505616.892,496232,515927,897436.97,896270,898449,931429.822,930474,932413,0,500
9e+05,0.1,1825,0.543267547896027,0.542932562371495,0.543603372551882,0.531177545676017,0.556502450013338,535782.174,523723,548663,950226.03,949227,951435,986221.716,985167,987177,0,500
950000,0.1,1825,0.543253268756163,0.542918509695489,0.54359317471997,0.533533849898845,0.556810322302999,565524.994,555397,579644,1003002.764,1001997,1004020,1040997.01,1040223,1041773,0,500
1e+06,0.1,1825,0.543381680689569,0.543068350889872,0.543716068596877,0.53393741146921,0.554559535881809,595437.174,585016,607566,1055804.146,1054730,1057131,1095798.948,1094971,1096835,0,500
1100000,0.1,1825,0.543512122582469,0.543201633580958,0.543819171622528,0.533999142443174,0.55485962842966,655127.052,643870,668931,1161364.648,1160144,1162641,1205358.532,1204359,1206287,0,500
1200000,0.1,1825,0.543592109031806,0.543266056834408,0.543932240576768,0.533009719818158,0.555316091407514,714792.564,700548,729968,1266947.214,1265350,1268145,1314943.096,1313811,1315891,0,500
1300000,0.1,1825,0.543394066914871,0.54308997002389,0.543718548235962,0.532853920404723,0.554747897714148,774071.624,758987,790485,1372518.304,1371229,1373989,1424512.428,1423517,1425953,0,500
1400000,0.1,1825,0.543571935940261,0.543248497243214,0.543899595876866,0.533875185055531,0.554380766074282,833885.626,818964,850484,1478087.006,1477035,1479348,1534085.13,1533158,1535232,0,500
1500000,0.1,1825,0.543876293198269,0.543573680608526,0.544185269886744,0.534009384667978,0.555363895505724,893952.994,877889,912760,1583665.956,1582027,1585046,1643669.782,1642196,1644999,0,500
1600000,0.1,1825,0.543745944939866,0.543421048589146,0.544056999858501,0.535144509725421,0.553845381531832,953315.278,938347,970876,1689238.272,1688022,1690648,1753236.594,1751894,1754349,0,500
1700000,0.1,1825,0.54384954095739,0.543533276502501,0.544174172977981,0.534871934461541,0.554392155557679,1013090.034,996253,1032847,1794813.792,1793306,1796176,1862812.958,1861596,1864051,0,500
1800000,0.1,1825,0.543907475588532,0.543584806005134,0.544239854727314,0.536484415671974,0.554904531714089,1072796.182,1058333,1094426,1900381.558,1898627,1901911,1972387.278,1970858,1973475,0,500
1900000,0.1,1825,0.543795300646348,0.543496725900431,0.544141689955932,0.538306611440407,0.554620286636121,1132171.528,1120419,1154649,2005982.816,2004564,2007674,2081980.878,2080668,2083449,0,500
2e+06,0.1,1825,0.543976902485836,0.543616924700484,0.544304227299298,0.537690269411084,0.554468684185907,1192160.9,1178559,1215010,2111562.996,2109587,2113121,2191565.446,2190031,2192942,0,500
