"initpop","gamma","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
4e+05,1.5e-05,1825,0.0774866110636448,0.0773820055383441,0.0775896394336041,0.0736631186898654,0.0808648288331066,33965.174,32278,35423,422717.572,422024,423432,438336.204,437688,439003,0,500
450000,1.5e-05,1825,0.0768247848522009,0.0767327289957077,0.0769212344367067,0.0738115764171324,0.0797863387390822,37884.494,36388,39344,475554.48,474830,476349,493128.578,492460,493822,0,500
5e+05,1.5e-05,1825,0.0763982644812523,0.076298702288185,0.0764997673951521,0.0723232367501749,0.0797843813276419,41860.21,39605,43737,528390.958,527627,529226,547920.852,547224,548649,0,500
550000,1.5e-05,1825,0.0763206364817389,0.0762231974099659,0.0764106860401343,0.0732900995240299,0.0801315813483605,45999.474,44177,48305,581227.534,580423,582105,602713.43,601967,603501,0,500
6e+05,1.5e-05,1825,0.0762781709508228,0.076192016195505,0.0763673916607886,0.0729739835717717,0.0801013868467748,50153.064,48009,52681,634057.478,633322,635164,657501.986,656826,658326,0,500
650000,1.5e-05,1825,0.0759969270208067,0.0759158011518403,0.0760860549566645,0.0722975770291416,0.0792438954904027,54131.964,51516,56465,686890.356,685999,687889,712291.69,711635,713272,0,500
7e+05,1.5e-05,1825,0.0756786314287519,0.0755912118374795,0.075761641816233,0.0721886083872314,0.0781380967216726,58052.274,55360,59942,739731.826,738615,740812,767089.424,766022,768067,0,500
750000,1.5e-05,1825,0.075562166687704,0.0754887304379027,0.0756434506361528,0.0731298871208203,0.0777644499810221,62102.764,60089,63923,792560.798,791464,793550,821876.568,820933,822826,0,500
8e+05,1.5e-05,1825,0.0755386238703614,0.0754641273390594,0.0756155405133993,0.0733813343741548,0.0780431083963124,66223.046,64299,68393,845403.1,844477,846305,876677.968,875882,877472,0,500
850000,1.5e-05,1825,0.0754240881866058,0.075350179557595,0.075498896811273,0.072942957289089,0.0779182287074732,70255.224,67946,72558,898237.536,897078,899426,931469.258,930578,932503,0,500
9e+05,1.5e-05,1825,0.0753129701341823,0.0752387381050662,0.0753858155561336,0.0725192696781832,0.0777877985215063,74278.756,71542,76678,951080.17,949805,952355,986267.9,985197,987328,0,500
950000,1.5e-05,1825,0.0751643183609025,0.0751034974192642,0.075233908395953,0.0728675990317747,0.0772082795177483,78249.396,75861,80402,1003898.932,1002944,1004880,1041044.24,1040266,1041992,0,500
1e+06,1.5e-05,1825,0.0751068728612086,0.0750375175127484,0.0751744807829166,0.0731412001722666,0.0776904788405501,82305.548,80161,85157,1056743.854,1055753,1058009,1095845.9,1094904,1096939,0,500
