"initpop","epsilon","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
2100000,0.65,1825,0.450563250271045,0.450317638067838,0.450835629381745,0.441110297127274,0.45929760957734,1036812.906,1015188,1056634,2217543.528,2215953,2219011,2301148.638,2299739,2302414,0,500
2200000,0.65,1825,0.450873059387164,0.450586642765812,0.451130142900191,0.442140219168381,0.458832248718141,1086930.502,1066333,1106312,2323124.934,2321559,2324794,2410724.13,2409341,2412041,0,500
2300000,0.65,1825,0.450885134105533,0.450627032448494,0.451146473627422,0.442472764892486,0.459018675741764,1136363.81,1115438,1157271,2428706.902,2426969,2430906,2520295.632,2518788,2522059,0,500
2400000,0.65,1825,0.450939012500688,0.450689568335884,0.451223435000942,0.44053858418828,0.458418418935912,1185915.148,1158783,1205954,2534317.288,2532446,2536055,2629879.396,2628269,2631401,0,500
2500000,0.65,1825,0.451261801637235,0.451010298625264,0.451517939791509,0.442459840801702,0.458995851189018,1236213.892,1211886,1257195,2639923.256,2638308,2641899,2739460.702,2737833,2741295,0,500
10000,0.8,1825,0.0534789523048682,0.0474246393832911,0.0599568641410864,9.03342366757001e-05,0.217327459618209,585.952830188679,1,2368,10567.2421383648,10450,10690,10957.5377358491,10873,11070,318,318
20000,0.8,1825,0.100112501730791,0.0924487646846335,0.107442752064926,4.53206435531385e-05,0.292923752057049,2194.37585421412,1,6408,21136.2050113895,20959,21315,21916.4191343964,21768,22073,437,439
30000,0.8,1825,0.138532845287288,0.130905752635236,0.146739097257732,3.03573054855651e-05,0.268876387410674,4553.72950819672,1,8842,31699.3483606557,31474,31878,32873.2704918033,32699,33053,419,488
40000,0.8,1825,0.20029792598604,0.192938080919452,0.207204160044864,2.28195883346264e-05,0.273216811938119,8778.7797979798,1,11974,42260.8363636364,42025,42479,43830.1737373737,43614,44037,291,495
50000,0.8,1825,0.213811613448047,0.208560250470497,0.219107120379399,1.82238988209137e-05,0.263753927084094,11714.6285140562,1,14489,52826.0602409639,52576,53051,54790.5381526104,54553,55023,181,498
