"initpop","d","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
60000,3e-06,1825,0.180133784581893,0.174452825406883,0.185554339218468,3.0389594602808e-05,0.234129879605983,11860.6686746988,2,15402,65479.3032128514,65252,65742,65843.5361445783,65610,66104,199,498
70000,3e-06,1825,0.198637404887914,0.194847986999247,0.202261303393297,0.00254081592765841,0.235361474001978,15258.778,195,18088,76389.866,76131,76653,76817.926,76541,77081,133,500
80000,3e-06,1825,0.202277843000058,0.198206292216677,0.20597708730178,0.00111631297770791,0.236360328398262,17758.408,98,20786,87302.314,87029,87599,87791.412,87511,88082,104,500
90000,3e-06,1825,0.21094422497487,0.207801779003261,0.213634462008321,3.03158915903717e-05,0.23833048196552,20833.898,3,23543,98212.716,97880,98546,98765.594,98442,99094,50,500
1e+05,3e-06,1825,0.218694289934056,0.216966306361549,0.220249539926271,0.00336129860902358,0.238506324031319,23999.142,369,26136,109122.986,108835,109437,109738.478,109406,110057,14,500
150000,3e-06,1825,0.223519329060478,0.223019931438887,0.223982593671502,0.166026189739013,0.239616088752106,36793.094,27348,39396,163681.354,163316,164074,164608.21,164211,165030,2,500
2e+05,3e-06,1825,0.226140431825952,0.225808753189907,0.226493569854638,0.214960683760684,0.237472250459263,49633.498,47157,52095,218242.452,217844,218674,219480.998,219040,219950,0,500
250000,3e-06,1825,0.227707985989117,0.227383925192584,0.228041445247538,0.215209765986772,0.239078567291616,62471.69,59023,65634,272801.518,272337,273319,274350.112,273837,274883,0,500
3e+05,3e-06,1825,0.228831156717059,0.228485204544497,0.229191623337439,0.21830985915493,0.239175470677934,75336.176,71889,78738,327363.956,326823,327912,329221.646,328670,329804,0,500
350000,3e-06,1825,0.229529761591656,0.229211224221092,0.22986394347677,0.218615603827108,0.239927936746792,88160.58,83925,92158,381923.628,381368,382513,384091.934,383497,384730,0,500
4e+05,3e-06,1825,0.230306283713246,0.229987670851819,0.230633017150924,0.218286362828349,0.239631073976547,101095.81,95781,105199,436484.254,435915,437135,438962.504,438330,439623,0,500
