"initpop","omega","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
2400000,4400,365,0.141955869239592,0.141896310195513,0.142013644853478,0.13956004533962,0.143776137620503,347078.436,341177,351497,2426064.596,2425365,2426881,2444974.18,2444384,2445744,0,500
2500000,4400,365,0.141950119491544,0.141892850041542,0.142011250463755,0.139936831574161,0.14414128275907,361525.7,356397,367145,2527151.774,2526354,2527931,2546850.288,2546233,2547515,0,500
10000,44000,365,0.0292791574373947,0.0263081544235969,0.0323053120183311,9.7904836498923e-05,0.1,298.298742138365,1,1021,10110.6320754717,10063,10153,10187.8113207547,10147,10228,276,318
20000,44000,365,0.0299686629834007,0.0275526355912659,0.0322641362692114,4.89715964740451e-05,0.0778672427336999,610.630979498861,1,1586,20221.2801822323,20151,20289,20374.8200455581,20315,20436,298,439
30000,44000,365,0.0338686297987611,0.0320564776902441,0.0356838761386364,3.26786706316787e-05,0.0616507874144648,1035.11885245902,1,1883,30331.5860655738,30261,30412,30562.2131147541,30487,30639,211,488
40000,44000,365,0.0399954117442586,0.0382250705534603,0.0417147258086909,2.45314493180257e-05,0.0636131691281095,1629.82626262626,1,2593,40442.1171717172,40351,40542,40749.5414141414,40672,40843,130,495
50000,44000,365,0.0412807256363482,0.0401551014290574,0.0424956711384504,1.96278558530266e-05,0.0570704988515225,2102.75100401606,1,2907,50552.562248996,50440,50657,50937.2269076305,50835,51032,70,498
60000,44000,365,0.044818682480145,0.04383537109113,0.0457390323298242,3.27171601504989e-05,0.0574737083135703,2739.54016064257,2,3514,60662.8393574297,60552,60767,61124.8152610442,61017,61224,38,498
70000,44000,365,0.0440538513296823,0.0433623684854627,0.0446826280544897,0.0030147935216995,0.0567461430575035,3141.566,215,4046,70772.996,70649,70903,71312.048,71196,71429,20,500
80000,44000,365,0.0460989817420503,0.0455026296825653,0.0466130576585556,0.00208573601943415,0.05829425772715,3757.056,170,4749,80882.944,80756,81002,81499.472,81381,81622,11,500
