"initpop","omega","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
90000,44000,365,0.0444736103547897,0.0438332109578444,0.0450429829865355,3.26840109818277e-05,0.0579718045727619,4077.688,3,5317,90994.57,90849,91120,91687.53,91566,91805,12,500
1e+05,44000,365,0.0462496580786382,0.0459384958444436,0.0465592805154991,0.00428185612570587,0.0551924473493101,4711.644,436,5624,101103.834,100930,101244,101874.084,101746,102000,1,500
150000,44000,365,0.0455373966958827,0.0453014389582011,0.0457637227243159,0.0388987101420808,0.055886277998744,6958.652,5941,8543,151656.612,151470,151824,152811.778,152655,152968,0,500
2e+05,44000,365,0.0467988291239325,0.0465714632832686,0.0470193233144609,0.0393040952600566,0.0544091161156396,9535.222,8011,11087,202207.812,201981,202414,203749.152,203571,203931,0,500
250000,44000,365,0.0461798928155503,0.0460059959338268,0.0463783244809178,0.0405317858250651,0.0530708383221779,11761.39,10323,13519,252760.66,252513,252980,254686.424,254490,254888,0,500
3e+05,44000,365,0.0467647096393194,0.0465882451112079,0.0469370669322794,0.0404967602591793,0.0526329567058346,14292.408,12375,16085,303312.756,303037,303575,305623.984,305397,305848,0,500
350000,44000,365,0.0465342782639932,0.0463633558989423,0.0466957817840846,0.0406660514069158,0.0533012013039843,16592.334,14497,18999,353865.658,353566,354131,356561.446,356311,356792,0,500
4e+05,44000,365,0.046929450759692,0.0467456861085636,0.0470889357896415,0.041009254691768,0.0520084877773553,19123.708,16710,21201,404417.696,404115,404706,407499.016,407243,407760,0,500
450000,44000,365,0.0468582910700597,0.0467012709635892,0.0470197082754317,0.0420491547640078,0.0515322218198161,21481.53,19280,23620,454969.654,454638,455277,458436.054,458157,458703,0,500
5e+05,44000,365,0.0468522685933816,0.0467022000608428,0.0469891941106789,0.0416378836643379,0.0525822886705214,23865.302,21217,26782,505521.708,505174,505857,509373.64,509091,509650,0,500
550000,44000,365,0.0471010274074249,0.0469657535168151,0.047242558907982,0.0425480666295551,0.0533398537196543,26391.206,23847,29886,556073.27,555719,556408,560310.742,560005,560595,0,500
6e+05,44000,365,0.0470035070045507,0.0468583720719188,0.0471401976046622,0.0416614173357178,0.0521520917274808,28730.496,25463,31880,606618.554,606243,607051,611241.244,610895,611536,0,500
650000,44000,365,0.0471668853872325,0.047039841110036,0.0473010260916742,0.0427179275756931,0.0509814995749025,31232.814,28287,33760,657168.63,656719,657571,662176.85,661821,662485,0,500
7e+05,44000,365,0.0471339268619988,0.0469956533758181,0.0472662099364368,0.0431582844385609,0.0512577483213431,33611.778,30776,36558,707719.436,707343,708117,713112.326,712771,713420,0,500
750000,44000,365,0.0472829365140561,0.0471587502713316,0.0474091061859794,0.0430605475959235,0.0513610783928805,36126.416,32898,39245,758268.196,757742,758768,764047.624,763600,764471,0,500
8e+05,44000,365,0.0472671234744534,0.0471528025435321,0.0473942162423928,0.043271478371623,0.0511611929678203,38522.188,35265,41702,808824.502,808423,809270,814989.112,814636,815388,0,500
850000,44000,365,0.0471136490101179,0.0469906044050993,0.0472411109712916,0.0426271086605516,0.0515047231909832,40797.118,36908,44600,859380.45,858924,859783,865929.972,865582,866273,0,500
9e+05,44000,365,0.0471204246560414,0.0470021048193082,0.0472406604564438,0.0434015279432104,0.0513628937800045,43203.286,39790,47097,909934.538,909518,910399,916869.522,916503,917226,0,500
950000,44000,365,0.0472790802259706,0.0471687372121355,0.0473875442432252,0.0430673918613974,0.0509932077935764,45756.66,41682,49355,960478.988,960027,960953,967799.21,967380,968178,0,500
1e+06,44000,365,0.0471806096344136,0.0470659421833556,0.0472957116976665,0.0433784328988946,0.0510315066987074,48064.98,44190,51986,1011038.872,1010513,1011464,1018744.334,1018187,1019102,0,500
1100000,44000,365,0.0472384304567708,0.0471327966942669,0.0473456110320016,0.0438785927438354,0.0508179180770113,52936.194,49170,56946,1112141.46,1111631,1112678,1120617.024,1120219,1121105,0,500
1200000,44000,365,0.0472943405256839,0.0471852072957456,0.0474094527014902,0.0426807269573896,0.0507185979916391,57817.104,52171,62008,1213249.132,1212788,1213821,1222495.454,1222089,1222963,0,500
1300000,44000,365,0.0472971012182168,0.0471940468840187,0.0473973369829925,0.0439469733356291,0.0510691481930395,62638.648,58193,67625,1314348.652,1313772,1314887,1324365.174,1323911,1324817,0,500
1400000,44000,365,0.0473717440791825,0.0472688550858875,0.0474803245788323,0.0434436963526083,0.0512662843039643,67563.642,61970,73117,1415456.298,1414974,1416045,1426243.696,1425754,1426714,0,500
1500000,44000,365,0.0474081502993609,0.0473104664169917,0.0475048553762748,0.0439468110097362,0.0507372152322909,72445.156,67160,77522,1516557.792,1515991,1517029,1528116.348,1527650,1528553,0,500
1600000,44000,365,0.0473286120080249,0.0472285395789003,0.0474227525454919,0.0434521987161042,0.0505894813840232,77145.488,70822,82439,1617672.274,1616954,1618242,1629996.966,1629404,1630517,0,500
1700000,44000,365,0.0472490247705565,0.0471482147458801,0.0473541746483339,0.0438978586678016,0.0502469852213051,81829.008,76017,87022,1718765.092,1718217,1719401,1731866.566,1731385,1732400,0,500
1800000,44000,365,0.0473284560930365,0.047233322641021,0.0474291647802976,0.0443459729699074,0.0506997086455507,86788.214,81322,92993,1819867.034,1819260,1820505,1833742.816,1833252,1834299,0,500
1900000,44000,365,0.0472689796932993,0.0471648672972924,0.0473628415236735,0.044209218980625,0.0501511960061315,91494.386,85573,97071,1920975.172,1920210,1921617,1935611.326,1935099,1936134,0,500
2e+06,44000,365,0.0472963860139493,0.047208248055361,0.0473870292925393,0.0444069575170151,0.0501524926772589,96365.768,90477,102168,2022081.144,2021340,2022932,2037487.302,2036911,2038332,0,500
2100000,44000,365,0.0472749811387669,0.0471814079558496,0.0473641214671712,0.0445061611835156,0.05062886966148,101138.404,95222,108299,2123189.246,2122486,2123932,2139364.456,2138826,2139897,0,500
2200000,44000,365,0.0473976814958101,0.0473089671184614,0.0474869903382272,0.044293963053195,0.0505676451837268,106229.328,99287,113345,2224286.14,2223606,2224952,2241234.778,2240609,2241828,0,500
2300000,44000,365,0.0473238390552862,0.0472404780877908,0.0474079263990755,0.0447320447081476,0.0512423559882485,110885.086,104824,120053,2325396.596,2324578,2326110,2343112.48,2342537,2343702,0,500
2400000,44000,365,0.0473380259348145,0.047253407645303,0.0474221630594941,0.0447522450764146,0.0511580097824033,115740.434,109409,125071,2426492.488,2425737,2427171,2444978.042,2444269,2445591,0,500
2500000,44000,365,0.0473204442778677,0.0472361475595479,0.0474179145976992,0.0447150577234457,0.0503051437850707,120518.268,113888,128127,2527598.426,2526816,2528270,2546854.254,2546209,2547435,0,500
10000,440000,365,0.0275147512864911,0.0247757548265565,0.0304068404273797,9.7904836498923e-05,0.104189149416266,280.339622641509,1,1062,10110.6257861635,10067,10157,10187.8176100629,10147,10228,283,318
20000,440000,365,0.0238125430719024,0.0216569475086376,0.0259987032740254,4.90051945506224e-05,0.0697902853494426,485.166287015945,1,1421,20221.4715261959,20152,20291,20374.8200455581,20315,20436,325,439
30000,440000,365,0.0210588538687127,0.0195024393198409,0.0226893424096309,3.269042170644e-05,0.060097490758007,643.592213114754,1,1837,30332.3954918033,30258,30410,30562.2151639344,30487,30639,332,488
40000,440000,365,0.0218577977125622,0.0202892024156545,0.0235424786632306,2.45356625855681e-05,0.0557340856126579,890.715151515152,1,2272,40443.5232323232,40346,40546,40749.5353535354,40672,40843,311,495
50000,440000,365,0.0210273631845974,0.0195857884975572,0.0223171674248009,1.96278558530266e-05,0.0503872169395157,1071.09236947791,1,2570,50554.4016064257,50447,50663,50937.2530120482,50835,51032,294,498
60000,440000,365,0.0220551446571948,0.0205617775448266,0.0235762864480229,3.27171601504989e-05,0.0487980493871606,1348.07831325301,2,2982,60665.265060241,60549,60779,61124.8232931727,61017,61224,272,498
70000,440000,365,0.020058737874188,0.0185627479200503,0.021392314428145,0.000462327327748046,0.0457764750431258,1430.48,33,3264,70776.392,70646,70910,71312.064,71196,71429,274,500
80000,440000,365,0.0209311315987249,0.0195190602628687,0.0222258739372257,7.36440293103237e-05,0.0467779550754879,1705.834,6,3811,80886.998,80759,81013,81499.506,81381,81623,257,500
90000,440000,365,0.0210531242546876,0.0197108025628981,0.0224816516628577,0.000633008098138083,0.0434630863699325,1930.36,58,3985,90998.614,90851,91131,91687.536,91566,91805,237,500
1e+05,440000,365,0.0221463540597952,0.0206745740288499,0.0235656501838561,0.000864109034849125,0.0464709924413468,2256.152,88,4734,101108.342,100924,101247,101874.116,101746,102000,222,500
150000,440000,365,0.0236749823089552,0.0224021545986822,0.0248925247994114,0.000994588652528676,0.0404636376718691,3617.798,152,6186,151663.79,151476,151839,152811.824,152655,152968,170,500
2e+05,440000,365,0.0239708072352268,0.022644664626513,0.0251554091617179,0.000883665444262802,0.0424237070192487,4884.052,180,8644,202218.352,201984,202419,203749.232,203571,203931,152,500
250000,440000,365,0.0250174638953695,0.0237335406668187,0.0262413776951954,0.00116186872453506,0.039947558280571,6371.592,296,10177,252772.21,252545,253001,254686.506,254490,254888,123,500
3e+05,440000,365,0.0269589878663597,0.0259048940648891,0.0279779414430425,0.00106331814151619,0.0409245976064082,8239.368,325,12512,303325.77,303048,303571,305624.108,305397,305848,89,500
350000,440000,365,0.0273908976487243,0.0264296597940712,0.0283871296305632,0.00109723894272188,0.0392017745820842,9766.55,391,13979,353879.546,353584,354159,356561.592,356311,356792,76,500
4e+05,440000,365,0.0287521179784917,0.0279346171368159,0.0296183447265133,0.00135207756164713,0.0374644720759107,11716.518,551,15264,404433.274,404132,404720,407499.132,407243,407760,53,500
450000,440000,365,0.0295938177963429,0.0287785622368293,0.0302782538542713,0.00119326796173689,0.0387957079316881,13566.862,547,17785,454986.054,454662,455325,458436.182,458157,458703,38,500
5e+05,440000,365,0.0302613130298422,0.0296316650700706,0.030834806044881,0.00117815465636174,0.0365016220544453,15414.362,600,18599,505539.402,505201,505867,509373.838,509091,509650,25,500
550000,440000,365,0.0303520360633115,0.0297526587869305,0.0309174248318265,0.00130301764607185,0.0360842864969919,17006.636,730,20219,556093.086,555754,556427,560310.946,560005,560596,25,500
6e+05,440000,365,0.0301182442151656,0.0294905079559077,0.0307200228711291,0.00139594407059255,0.0355141379344188,18409.538,853,21711,606640.134,606276,607042,611241.192,610937,611529,27,500
650000,440000,365,0.030651901371042,0.0301426603586408,0.0311210469870845,0.00147393728517666,0.036102952834676,20297.014,976,23909,657192.11,656700,657596,662177.244,661773,662470,19,500
7e+05,440000,365,0.0313208431939305,0.0309397929141202,0.0316338573085033,0.00119627625707177,0.0361332918233808,22335.334,853,25766,707743.372,707344,708183,713112.974,712754,713430,8,500
750000,440000,365,0.0312693699696962,0.0309076873255573,0.0315866105556228,0.00143326295728615,0.0360090287546207,23891.264,1095,27519,758294.482,757766,758805,764047.952,763605,764463,8,500
8e+05,440000,365,0.0312221429820611,0.0308705209133198,0.0315154278557405,0.00132758781465794,0.0351970887282694,25445.734,1082,28687,808852.488,808443,809301,814989.166,814599,815362,7,500
850000,440000,365,0.0315342574946715,0.0312862956567509,0.0317423824325385,0.00129092897234895,0.0354490907305918,27306.466,1118,30692,859409.428,858982,859851,865930.41,865610,866256,3,500
9e+05,440000,365,0.0314892023999556,0.0312002414541083,0.0317192828835584,0.0014963627043593,0.0348436198013236,28871.478,1372,31947,909965.328,909529,910457,916869.89,916513,917240,4,500
950000,440000,365,0.0316197527420527,0.0313996205480401,0.0317934622875148,0.00140804912366246,0.0355036494540285,30601.612,1363,34361,960512.454,960054,961011,967800.69,967395,968207,2,500
1e+06,440000,365,0.0316317157912947,0.0314614872301557,0.0317704897502483,0.00156850273751823,0.034855041383798,32224.634,1598,35513,1011072.722,1010458,1011495,1018744.656,1018268,1019107,1,500
1100000,440000,365,0.0316863247230248,0.031477449279788,0.031854898590659,0.0015455026497518,0.0357192577890739,35508.236,1732,40025,1112177.65,1111671,1112685,1120617.2,1120230,1121102,2,500
1200000,440000,365,0.0317624242078512,0.0316639963816848,0.0318568301321026,0.0287077896375871,0.0345834597856949,38829.424,35104,42277,1213289.592,1212804,1213939,1222495.786,1222091,1223043,0,500
1300000,440000,365,0.0318309537003899,0.0317396577616959,0.0319312105580527,0.0279886939691856,0.0355213865186489,42155.83,37064,47049,1314392.142,1313751,1314973,1324365.558,1323901,1324793,0,500
1400000,440000,365,0.031787999595422,0.0317007941709517,0.0318798050812316,0.028046458959266,0.0354067938521262,45337.442,40000,50492,1415502.7,1415006,1416071,1426244.272,1425755,1426716,0,500
1500000,440000,365,0.0317414887726421,0.0316508802257498,0.0318353543991518,0.02824060168089,0.0348202568927432,48504.698,43155,53201,1516607.592,1516053,1517241,1528117.082,1527643,1528732,0,500
1600000,440000,365,0.0318170308627606,0.0317304018188899,0.0319109219285733,0.0288756727043389,0.0344361118132225,51861.674,47067,56131,1617722.33,1617062,1618308,1629997.468,1629419,1630551,0,500
1700000,440000,365,0.0318298278509269,0.0317442212450498,0.0319123998023398,0.0287119075029705,0.0350874863234959,55125.034,49730,60771,1718820.184,1718188,1719467,1731866.954,1731376,1732452,0,500
1800000,440000,365,0.0317465627997054,0.0316513484271478,0.0318350305291015,0.0287178648346555,0.0346541428860422,58215.056,52670,63554,1819929.966,1819343,1820546,1833743.586,1833211,1834322,0,500
1900000,440000,365,0.0317937355533368,0.0317114876132397,0.0318756798867768,0.0281831208101879,0.0346221929662303,61540.302,54561,67008,1921028.398,1920382,1921630,1935611.192,1935058,1936155,0,500
2e+06,440000,365,0.03184820099438,0.0317572246604979,0.0319346376117956,0.0287927358816509,0.0350094062226838,64890.328,58669,71331,2022143.27,2021383,2023002,2037488.298,2036934,2038249,0,500
2100000,440000,365,0.0318362248295506,0.0317581011804037,0.0319145115161378,0.0286098530194745,0.0346952787854058,68109.32,61204,74231,2123248.704,2122574,2123893,2139365.406,2138714,2139985,0,500
2200000,440000,365,0.0318332459210619,0.031753226662235,0.0319115361914955,0.0289635037277924,0.0342932149744035,71345.78,64919,76862,2224351.96,2223703,2225056,2241234.894,2240650,2241816,0,500
2300000,440000,365,0.0317749410366943,0.0316972216136801,0.0318592243187566,0.028941298788212,0.0350108026943994,74452.26,67809,82028,2325460.93,2324812,2326176,2343112.946,2342568,2343739,0,500
2400000,440000,365,0.0317400388035261,0.031663224170862,0.0318109508503983,0.0288680947990139,0.0341702606658333,77603.73,70568,83540,2426562.326,2425797,2427175,2444978.54,2444383,2445471,0,500
2500000,440000,365,0.0318098610601185,0.0317313491286701,0.0318854019408048,0.0287398476778649,0.0341043442546028,81015.074,73192,86855,2527667.416,2526841,2528303,2546854.754,2546229,2547497,0,500
