"initpop","b","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
750000,2e-05,1825,0.235032987084468,0.234819699109188,0.235245493078955,0.228435793360307,0.243962676257438,182702.104,177562,189660,748654.582,747916,749405,777346.79,776845,777887,0,500
8e+05,2e-05,1825,0.23459723980067,0.234380589482229,0.234819811176124,0.226455959824607,0.244402717327728,194521.06,187679,202658,798565.802,797819,799310,829170.288,828643,829726,0,500
850000,2e-05,1825,0.235341776517143,0.235113796371897,0.235574058151511,0.2237931918931,0.24473420374666,207334.642,197190,215545,848472.792,847699,849267,880993.708,880428,881569,0,500
9e+05,2e-05,1825,0.23477398311374,0.234566141804181,0.234974506567186,0.226156212649869,0.246105114214966,219001.016,210980,229589,898384.448,897582,899207,932816.5,932254,933409,0,500
950000,2e-05,1825,0.235437121964058,0.235240429426892,0.235640939533607,0.229638275653294,0.242158760595652,231820.7,226055,238430,948291.904,947420,949163,984639.648,984079,985248,0,500
1e+06,2e-05,1825,0.234987698019404,0.234796083412425,0.23515323519585,0.226502156685726,0.242112231348814,243556.012,234832,250898,998202.776,997346,999073,1036462.77,1035870,1037088,0,500
1100000,2e-05,1825,0.235247555178313,0.235063185388072,0.235433921040709,0.228499145731157,0.242101458556673,268207.966,260391,275970,1098025.746,1097098,1098949,1140109.39,1139459,1140783,0,500
1200000,2e-05,1825,0.235330603499459,0.235153635502329,0.235500740724591,0.229387799079033,0.241536753075589,292693.91,285288,300371,1197843.916,1196902,1198804,1243756.33,1243102,1244444,0,500
1300000,2e-05,1825,0.235581222839039,0.235412639805222,0.235741641566249,0.230313391835517,0.24209556653976,317422.744,310380,326148,1297664.18,1296690,1298608,1347402.56,1346732,1348115,0,500
1400000,2e-05,1825,0.235332896812435,0.235175792126837,0.235498295658737,0.229095139186561,0.242174359030922,341479.732,332434,351302,1397484.456,1396488,1398486,1451049.72,1450354,1451783,0,500
1500000,2e-05,1825,0.235517797613162,0.235359154849276,0.235673024410093,0.229743032143501,0.242091857245312,366157.794,357085,376379,1497296.318,1496250,1498458,1554692.636,1553910,1555564,0,500
1600000,2e-05,1825,0.23572837655701,0.235552019324693,0.235920411150769,0.230333454320508,0.243322237900551,390919.474,382026,403511,1597128.312,1596096,1598429,1658347.168,1657581,1659144,0,500
1700000,2e-05,1825,0.235506530578909,0.235360391313062,0.235673071611261,0.230961577533339,0.24233006071237,414957.462,406964,426885,1696914.91,1695807,1697879,1761978.46,1761050,1762756,0,500
1800000,2e-05,1825,0.235657061408897,0.235500526850178,0.235812848800284,0.23066530762734,0.241755032398982,439648.79,430427,451141,1796738.904,1795687,1797651,1865629.424,1864721,1866486,0,500
1900000,2e-05,1825,0.235721639493147,0.235570110043839,0.235879659747532,0.231469089457396,0.241595053266963,464203.39,455730,475734,1896576,1895298,1897649,1969286.314,1968295,1970207,0,500
2e+06,2e-05,1825,0.235784687342184,0.235641930550568,0.235935642723496,0.231551253484581,0.241980771893063,488763.908,480103,501653,1996387.09,1995079,1997371,2072924.826,2072112,2073604,0,500
2100000,2e-05,1825,0.235783576338548,0.235633537340811,0.235929535543046,0.231413686188494,0.240767499355624,513199.96,503574,524036,2096203.776,2094721,2097400,2176572.268,2175578,2177473,0,500
2200000,2e-05,1825,0.235849570401637,0.235695186768237,0.23599770127306,0.231230527852819,0.243127598365113,537788.174,527173,554399,2196027.68,2194784,2197304,2280216.932,2279432,2281174,0,500
2300000,2e-05,1825,0.235791044403368,0.235642971644401,0.235951139769846,0.232009944817673,0.242224797841178,562096.33,553008,577438,2295841.012,2294540,2297214,2383874.934,2383045,2384684,0,500
2400000,2e-05,1825,0.235868143653565,0.23572415409857,0.236008423075992,0.231603534977832,0.2418546945101,586725.098,575979,601771,2395663.15,2394445,2396940,2487513.092,2486677,2488368,0,500
2500000,2e-05,1825,0.235911894289402,0.23576622614473,0.23607977895783,0.231298500020839,0.242023548136979,611285.382,599349,627091,2495483.156,2494323,2496987,2591159.62,2590199,2592289,0,500
10000,5e-05,1825,0.0305303352268531,0.026866261296298,0.0340410882648474,9.05633037493208e-05,0.154401682055032,333.883647798742,1,1689,10546.9937106918,10419,10663,10936.4119496855,10855,11042,318,318
20000,5e-05,1825,0.0430638163643155,0.0386919453326159,0.0475548466336615,4.54111984015258e-05,0.241574831953907,941.820045558087,1,5283,21096.1047835991,20915,21275,21873.840546697,21727,22032,439,439
30000,5e-05,1825,0.0717851826427734,0.0663688214266256,0.0774280607475844,3.04228780042592e-05,0.223083732714674,2355.39344262295,1,7319,31641.3954918033,31418,31833,32809.6864754098,32637,32985,474,488
40000,5e-05,1825,0.116493587419968,0.10996794018364,0.122929557092263,2.28451328444475e-05,0.238600745841817,5096.02424242424,1,10429,42184.9656565657,41940,42412,43746.2141414141,43555,43944,434,495
