"initpop","xi","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
3e+05,0.1,1825,0.999825815753328,0.999823796171797,0.999827877180111,0.999753330044401,0.999893600204288,328639.612,328083,329212,316426.548,315715,317083,328696.866,328135,329263,0,500
350000,0.1,1825,0.999828388059602,0.999826642308488,0.999830234117848,0.999759889549193,0.999885188838268,383414.676,382810,384063,369164.614,368448,369878,383480.486,382874,384126,0,500
4e+05,0.1,1825,0.999829094042001,0.999827425128987,0.999830822380584,0.999762504481586,0.999890403952764,438188.678,437524,438887,421899.202,421090,422702,438263.58,437598,438961,0,500
450000,0.1,1825,0.999830316498619,0.999828794691511,0.999831927517525,0.999766562397871,0.999890418075336,492962.734,492273,493681,474633.412,473744,475444,493046.396,492356,493756,0,500
5e+05,0.1,1825,0.999831506383259,0.999830006734644,0.999833130540203,0.999769833586029,0.99988858935864,547737.24,547001,548491,527365.812,526415,528184,547829.546,547094,548578,0,500
550000,0.1,1825,0.999832373492231,0.999830977133043,0.999833873334089,0.999772491385395,0.999882242110221,602511.364,601741,603319,580097.462,579076,580960,602612.378,601842,603414,0,500
6e+05,0.1,1825,0.999833083318686,0.999831713719212,0.999834503725478,0.999773448808554,0.99988442259964,657284.32,656374,658178,632828.074,631884,633629,657394.05,656481,658305,0,500
650000,0.1,1825,0.999833925054618,0.999832650851514,0.999835222863078,0.999772510889988,0.999884845208086,712053.162,711319,712786,685556.26,684699,686354,712171.436,711457,712893,0,500
7e+05,0.1,1825,0.999834471271463,0.999833250573313,0.999835729274701,0.999781095227485,0.999881268625169,766835.6,765964,767744,738299.244,737109,739150,766962.554,766091,767858,0,500
750000,0.1,1825,0.999835076292372,0.999833871982268,0.999836353945787,0.99978593677594,0.999877072724263,821602.05,820794,822437,791025.08,789982,791809,821737.574,820931,822560,0,500
8e+05,0.1,1825,0.999835321942051,0.999834190573234,0.999836558279899,0.999786697935761,0.999879054663869,876389.342,875551,877381,843771.024,842782,844687,876533.688,875696,877520,0,500
850000,0.1,1825,0.999835862476813,0.999834724926116,0.999837068249105,0.999786245143522,0.999879736321886,931162.212,930312,932034,896502.474,895321,897428,931315.076,930475,932203,0,500
9e+05,0.1,1825,0.99983615631808,0.99983502638929,0.999837296697739,0.99979212740866,0.999883319331653,985935.85,985142,986958,949235.1,948182,950420,986097.416,985294,987092,0,500
950000,0.1,1825,0.999836374327516,0.99983533760116,0.999837488184818,0.999792417870515,0.999880883994459,1040693.226,1039838,1041534,1001954.858,1000879,1003058,1040863.538,1039999,1041682,0,500
1e+06,0.1,1825,0.999836732226077,0.999835709331784,0.999837808922487,0.999794617518487,0.999877685443472,1095480.402,1094538,1096265,1054701.678,1053673,1055831,1095659.288,1094727,1096450,0,500
