"initpop","delta_C","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
1400000,30,1825,0.23006900033615,0.229912117112486,0.230233531680197,0.223923406318171,0.235478173594546,352957.494,343666,361313,1479023.198,1477676,1480363,1534137.664,1532982,1535159,0,500
1500000,30,1825,0.230076608033127,0.229913800461266,0.230239152756335,0.224721383705562,0.238240619509085,378181.856,369466,391578,1584662.74,1583288,1586180,1643721.652,1642353,1645298,0,500
1600000,30,1825,0.230011346073173,0.229855744011373,0.230160922912772,0.224650557010301,0.236465104393636,403276.648,393958,414564,1690297.478,1689020,1691703,1753290.262,1752202,1754503,0,500
1700000,30,1825,0.230115327254298,0.229964054048982,0.230250148896959,0.225644318412426,0.237438166025664,428676.184,420300,442216,1795924.518,1794407,1797547,1862875.246,1861541,1864214,0,500
1800000,30,1825,0.230128719758537,0.229988153786549,0.230258194647771,0.225504768355075,0.235227738763369,453917.044,444828,464018,1901563.212,1899840,1902977,1972448.534,1970899,1973810,0,500
1900000,30,1825,0.230188262102269,0.230048267254325,0.230337848062688,0.224304519530323,0.236435698346722,479261.798,466989,492270,2007226.984,2005455,2008758,2082042.736,2080539,2083382,0,500
2e+06,30,1825,0.230257965330019,0.230121237300709,0.230405830921277,0.22597154832788,0.236165749113245,504641.912,495345,517604,2112882.008,2111242,2114413,2191637.28,2190392,2192911,0,500
2100000,30,1825,0.23011268322986,0.229962773757592,0.230255997835468,0.22403097911474,0.23601078031224,529539.818,515474,543028,2218533.256,2217147,2220080,2301219.632,2299963,2302716,0,500
2200000,30,1825,0.230116118964472,0.22999676527715,0.230245851045018,0.224870720802564,0.235855255243795,554763.494,542090,568589,2324163.37,2322724,2325687,2410798.414,2409380,2412119,0,500
2300000,30,1825,0.230171647846096,0.230036063744524,0.230302309117087,0.225822973025511,0.236255457709741,580117.732,569227,595540,2429798.548,2428234,2431511,2520370.206,2518959,2522021,0,500
2400000,30,1825,0.230123766446295,0.229994548473941,0.230243523326136,0.226000199267881,0.234544189336152,605215.3,594296,616809,2535456.208,2533874,2536904,2629955.694,2628500,2631642,0,500
2500000,30,1825,0.230137880665697,0.230007881578435,0.230253157017452,0.226545523556483,0.234847660639587,630472.298,620737,643267,2641099.194,2639278,2643032,2739541.65,2737988,2741652,0,500
10000,60,1825,0.0248871051003143,0.0221923178351064,0.0277594060547682,9.03342366757001e-05,0.137754635973326,272.663522012579,1,1508,10567.8333333333,10450,10690,10957.5817610063,10873,11070,318,318
20000,60,1825,0.026516221271232,0.0237864448943883,0.0291997352686633,4.53206435531385e-05,0.144554093567251,581.123006833713,1,3164,21138.5079726651,20961,21315,21916.6605922551,21765,22074,439,439
