"initpop","beta","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
4e+05,0.325,1825,0.201094902534373,0.200598799212731,0.201604465154532,0.184361084750712,0.227578531583677,88146.282,80818,99790,422610.76,421889,423333,438331.702,437681,438999,0,500
450000,0.325,1825,0.204084779091909,0.203562243675613,0.204602980415762,0.190003264521545,0.226727676905353,100639.046,93706,111784,475434.684,474722,476207,493123.7,492455,493821,0,500
5e+05,0.325,1825,0.205537445748998,0.205023990426,0.206066547652956,0.189927619353297,0.228540954774328,112617.062,104147,125136,528258.316,527456,529067,547915.312,547217,548640,0,500
550000,0.325,1825,0.206937218949759,0.206464584884481,0.207436319851626,0.189326301395324,0.22788493943001,124722.63,114085,137269,581085.272,580235,581900,602707.474,601959,603492,0,500
6e+05,0.325,1825,0.208305005835244,0.20784181801804,0.208749250313149,0.194426914075509,0.227485469958064,136959.554,127853,149556,633904.768,633094,634862,657495.172,656808,658214,0,500
650000,0.325,1825,0.210104916692552,0.209598158877123,0.21064873321157,0.194735556266954,0.227677312254517,149654.406,138693,162249,686726.474,685814,687673,712284.282,711559,713142,0,500
7e+05,0.325,1825,0.210795962699262,0.21032931191881,0.211361547870061,0.193317739828367,0.228365572667581,161697.856,148272,175150,739556.356,738444,740628,767082.408,766051,768046,0,500
750000,0.325,1825,0.212485347407478,0.21199562587256,0.212999695502631,0.199081230965487,0.234984583361703,174635.216,163552,193272,792374.824,791502,793339,821869.092,820966,822738,0,500
8e+05,0.325,1825,0.21403416805316,0.213476248023997,0.214565237479288,0.198166707545932,0.234889571055848,187637.41,173706,205985,845207.838,844006,846150,876670.972,875908,877492,0,500
850000,0.325,1825,0.214205592037978,0.213682445927098,0.214711321413513,0.199773690804525,0.231806835689017,199524.254,186083,215913,898030.066,896905,899214,931461.31,930457,932434,0,500
9e+05,0.325,1825,0.215174991471415,0.214657994323702,0.215691138982339,0.201222424224603,0.235593347485032,212218.07,198453,232402,950857.14,949549,952314,986258.646,985249,987443,0,500
950000,0.325,1825,0.216285627784826,0.215790038412793,0.216826153261762,0.198658431052019,0.234398565941888,225160.658,206837,244000,1003664.502,1002692,1004685,1041033.722,1040010,1041973,0,500
1e+06,0.325,1825,0.216953763447612,0.216433545772071,0.217491689989472,0.201910973273739,0.236065857885615,237745.738,221355,258799,1056498.018,1055424,1057626,1095835.986,1094737,1096695,0,500
1100000,0.325,1825,0.218151058203286,0.21765703469834,0.218680970754753,0.204627615118269,0.238801299535667,262959.982,246794,287693,1162130.68,1160962,1163170,1205403.44,1204520,1206274,0,500
1200000,0.325,1825,0.219101459975871,0.218577715896097,0.21964505685177,0.204762763023109,0.239570039911618,288115.766,269253,315192,1267778.458,1266335,1269093,1314988.948,1313908,1316055,0,500
1300000,0.325,1825,0.220381739448222,0.219884770796951,0.220939693559289,0.20252752190519,0.234889236174004,313946.998,288464,334572,1373408.538,1371809,1374694,1424560.258,1423299,1425735,0,500
1400000,0.325,1825,0.221170511750377,0.22058898795185,0.221746612814181,0.205102900281215,0.240938467875653,339307.07,314859,369669,1479054.632,1477586,1480409,1534142.368,1533096,1535246,0,500
1500000,0.325,1825,0.221724204824631,0.221214868731187,0.222218801882546,0.209182972233,0.239387351405883,364454.104,343908,393430,1584703.83,1583041,1586321,1643726.81,1642102,1644905,0,500
1600000,0.325,1825,0.222752602004989,0.222181324586408,0.223276944370298,0.208711739176072,0.240204276788662,390551.218,365798,421246,1690317.578,1689158,1691768,1753295.368,1752017,1754682,0,500
1700000,0.325,1825,0.222617535231312,0.22210482263454,0.223118565298791,0.208484088711244,0.239736772591878,414709.234,388488,446527,1795964.642,1794495,1797626,1862878.088,1861392,1864138,0,500
